UNSATURATED UNIT WT,SATURATED UNIT WT,VOID RATIO,COHESION,ANGLE OF FRICTION,HEIGHT,SLOPE ANGLE,FOS
19.1,19.27,0.69,28.4,10,6,33.69,1.909
19.2,19.55,0.63,33,9,6,33.69,2.089
19.3,19.74,0.61,40.1,9.5,6,33.69,2.461
19.3,19.74,0.61,42.2,10,6,33.69,2.59
19.2,19.68,0.62,35.6,9,6,33.69,2.221
19.2,19.74,0.61,39.7,9,6,33.69,2.427
19.2,19.62,0.62,34,9.5,6,33.69,2.163
19.3,19.74,0.61,42.9,10,6,33.69,2.625
19.3,19.42,0.662,29.2,16,6,33.69,2.208
19.02,19.07,0.715,32,6,6,45,1.72
19.02,19.26,0.749,25.6,6,6,45,1.424
19.06,19.5,0.638,29.8,8,6,45,1.686
19.01,19.07,0.715,24.2,6,6,45,1.361
19.09,19.39,0.666,21.2,12.5,6,45,1.44
19.09,19.15,0.703,29.6,7.5,6,45,1.657
19.14,19.17,0.703,22.88,12,6,45,1.499
19.19,19.54,0.642,23.4,14,6,45,1.59
19.022,19.1,0.708,20.9,12.5,6,45,1.43
19.2,19.57,0.637,23.9,13.5,6,45,1.596
19.11,19.21,0.694,21.6,14,6,45,1.509
19.19,19.37,0.67,22.8,14.5,6,45,1.579
19.39,19.6,0.622,37.9,12,6,45,2.182
19.42,19.73,0.6,39.4,11.5,6,45,2.231
19.48,19.83,0.585,45.9,12,6,45,2.543
19.06,19.13,0.704,24.8,8,6,45,1.454
19.29,19.38,0.658,30.2,12,6,45,1.833
19.39,19.57,0.627,36.7,10.5,6,45,2.072
19.4,19.75,0.597,45.8,11.5,6,45,2.529
19.29,19.58,0.624,36.9,11,6,45,2.109
19.39,19.68,0.608,38.4,12.5,6,45,2.224
19.1,19.27,0.69,28.4,10,6,45,1.69
19.2,19.55,0.63,33,9,6,45,1.862
19.3,19.74,0.61,40.1,9.5,6,45,2.202
19.3,19.74,0.61,42.2,10,6,45,2.318
19.2,19.68,0.62,35.6,9,6,45,1.983
19.2,19.74,0.61,39.7,9,6,45,2.174
19.2,19.62,0.62,34,9.5,6,45,1.926
19.3,19.74,0.61,42.9,10,6,45,2.35
19.3,19.42,0.662,29.2,16,6,45,1.929
19.02,19.07,0.715,32,6,6,26.67,2.047
19.02,19.26,0.749,25.6,6,6,26.67,1.709
19.06,19.5,0.638,29.8,8,6,26.67,2.043
19.01,19.07,0.715,24.2,6,6,26.67,1.639
19.09,19.39,0.666,21.2,12.5,6,26.67,1.823
19.09,19.15,0.703,29.6,7.5,6,26.67,2
19.14,19.17,0.703,22.88,12,6,26.67,1.886
19.19,19.54,0.642,23.4,14,6,26.67,2.017
19.022,19.1,0.708,20.9,12.5,6,26.67,1.809
19.2,19.57,0.637,23.9,13.5,6,26.67,2.017
19.11,19.21,0.694,21.6,14,6,26.67,1.923
